Longitude,Latitude,Depth,MD,Time
14.134833,40.820833,0.92,1.20,2025-07-31 01:45:37.92
14.137667,40.822167,1.24,1.00,2025-07-30 22:48:28.769
14.136500,40.821667,1.24,1.80,2025-07-30 22:47:26.9
14.136333,40.820333,1.19,1.00,2025-07-30 21:05:58.89
14.145333,40.821667,1.20,1.00,2025-07-30 00:37:23.25
14.132000,40.835167,2.25,1.00,2025-07-29 12:41:02.24
14.142333,40.826500,1.72,1.80,2025-07-29 03:37:34.109
14.146833,40.828000,2.38,1.30,2025-07-27 15:56:36
14.117333,40.807500,3.46,1.10,2025-07-26 05:16:28.93
14.132167,40.818333,0.84,1.00,2025-07-26 00:47:05.519
14.135333,40.823167,1.48,1.40,2025-07-25 05:12:31.009
14.141000,40.822667,0.51,1.20,2025-07-25 04:36:10.319
14.085667,40.829667,2.59,1.00,2025-07-23 21:14:21.66
14.130333,40.840000,2.54,1.20,2025-07-22 12:43:45.89
14.133167,40.824833,1.79,1.10,2025-07-22 00:07:13.91
14.104833,40.808000,2.95,1.20,2025-07-20 16:56:27.079
14.113667,40.836000,2.73,1.90,2025-07-19 10:22:55.16
14.113833,40.834333,2.24,1.30,2025-07-19 08:58:35.95
14.108000,40.838667,2.93,1.10,2025-07-18 23:03:23.039
14.110667,40.839667,2.93,2.00,2025-07-18 22:30:06.96
14.105833,40.839000,2.88,1.50,2025-07-18 22:29:28.23
14.115167,40.835000,2.46,1.80,2025-07-18 22:08:57.19
14.110500,40.807167,2.64,1.40,2025-07-18 18:04:24.16
14.156167,40.825000,2.61,1.50,2025-07-18 12:10:47.4
14.142500,40.825667,0.45,1.30,2025-07-18 07:37:51.47
14.142500,40.825667,0.79,1.40,2025-07-18 07:36:05.299
14.143000,40.826333,0.67,1.00,2025-07-18 07:35:23.299
14.155500,40.815000,2.79,4.00,2025-07-18 07:14:22.039
14.130333,40.837833,2.83,1.00,2025-07-17 23:44:53.759
14.092000,40.832667,1.74,2.10,2025-07-15 13:12:29.96
14.112167,40.840833,2.91,1.30,2025-07-14 23:39:35.069
14.151667,40.826000,1.54,1.10,2025-07-10 06:38:49.099
14.136667,40.828333,2.72,1.50,2025-07-09 10:08:01.67
